"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHL1-AS2",-1.6351920516513,0.683181389212342,-19.9564048361273,4.91765973761774e-42,8.4323814043751e-40,85.1522636751968
"GRAMD1A",1.87848117199203,4.50949208280809,19.9038767915122,6.41317185931721e-42,1.09576230359266e-39,84.8873041183706
"DIRAS1",-1.7791664732693,0.879718357627279,-19.8347012719869,9.10258351002333e-42,1.54976326057887e-39,84.5378346839823
"SCARB1",3.89005385032563,4.36193402388384,19.8337942067487,9.1445160179226e-42,1.55140107085689e-39,84.5332482019997
"DDB2",2.51309992553482,5.10544785495782,19.8186389542512,9.87455381547677e-42,1.66935590770659e-39,84.4566016908568
"AC026471.3",-1.79937798240594,0.972716617161343,-19.7979647543699,1.0965837570253e-41,1.84733962604557e-39,84.3519962546169
"REEP6",-3.60485026684041,2.80682219706223,-19.7864220022731,1.1627036085225e-41,1.95187851931407e-39,84.2935695539461
"LINC01606",-1.73515120168484,0.656286816549746,-19.7814167358417,1.19260674131248e-41,1.99510226006602e-39,84.2682287846613
"MT1G",-6.79380793402983,6.16720177864398,-19.7656878661024,1.29170120850316e-41,2.15337355634214e-39,84.188575516516
"CEL",-2.24749699175026,1.22069262677962,-19.7432375269748,1.44765090054444e-41,2.40500398051695e-39,84.0748290601513
"SCNN1B",-3.45614775372588,1.78495866583874,-19.6795592755702,2.00088255101623e-41,3.31263355308246e-39,83.7518481205625
"NR1I3",-1.84653129496492,1.27437669625812,-19.6615709182538,2.19264267303972e-41,3.60524520609531e-39,83.6605160852201
"RPS24P17",-3.41366799050648,1.23674073710788,-19.6492154288077,2.33495380708022e-41,3.82613659336299e-39,83.5977598173373
"TMEM178A",-2.37130945444791,2.63255356804284,-19.6457237127269,2.37682858515427e-41,3.88150659967438e-39,83.5800210885935
"RHBDF2",2.34854135904702,3.11542109136961,19.6293380643769,2.58364349351564e-41,4.20494547154823e-39,83.4967574162098
"CYP17A1",-4.33194042144147,2.23798752584803,-19.5704797361155,3.48748001878202e-41,5.65678684668116e-39,83.1973864048814
"VIM",3.53247156933322,9.32721215464793,19.5675387088244,3.5401893763084e-41,5.72294856347875e-39,83.1824158744732
"MOGAT2",-1.29717872357199,0.476876705728346,-19.5364469124487,4.14885263517869e-41,6.6843863328926e-39,83.0240837612421
"PSAT1",-4.68307898082936,3.83977097374081,-19.4800240044079,5.53478210265641e-41,8.88749024457323e-39,82.7364405807529
"SLC7A13",-3.89949292375975,1.4473101613959,-19.4722028690459,5.7605675317715e-41,9.2192122778471e-39,82.6965365270459
"SLC34A1",-5.46524824818329,3.00016429996519,-19.4397564086286,6.80048421162554e-41,1.08473371418128e-38,82.5309088753202
"INHBB",4.2906732641076,3.62364967893966,19.4274664946409,7.24194096316379e-41,1.15132473352126e-38,82.468138210146
"DCXR",-2.65433284840369,7.15787210350917,-19.4058476157088,8.08955209390889e-41,1.28183358129622e-38,82.357673223799
"AC087762.1",-1.70155361735622,0.913311240832161,-19.2187625196583,2.1133832326949e-40,3.33775512395223e-38,81.3992481224422
