"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MCOLN3",-1.35866053544287,0.912136810129238,-12.4514907198097,9.90448176804055e-32,1.03853283829083e-30,60.738938271361
"AUH",-1.19442481494761,4.95589089487539,-12.4505807017403,9.9941345643934e-32,1.047370265499e-30,60.7299799794581
"VEPH1",-1.51170355117134,3.56465653670543,-12.4459125619942,1.04668855453026e-31,1.09632475182619e-30,60.6840324036752
"RPLP0",1.0251281236559,9.67299225172418,12.4378018454204,1.134180387025e-31,1.18732797037834e-30,60.6042240079135
"IKZF3",1.57150656989713,2.16986791827775,12.4358671917099,1.15610295129929e-31,1.20962853321835e-30,60.5851917292692
"IRF6",-2.13492627558968,3.62262104542922,-12.4333610734404,1.18512926289048e-31,1.23933383453904e-30,60.5605401883579
"NFKBIE",1.17364975691965,5.19641133625387,12.4331591805717,1.18749895363269e-31,1.2411464143997e-30,60.5585543860299
"PTPRO",-1.77863019487542,2.25871794273819,-12.4260470420991,1.27405530970567e-31,1.32947569316157e-30,60.4886119101134
"GNRH1",1.3493388329945,1.73671371938692,12.4247727653647,1.29021401904079e-31,1.34561732691725e-30,60.4760828243291
"IDH2",-1.06996554248972,7.44504398689574,-12.4237902300219,1.30281238648938e-31,1.35803046358645e-30,60.4664227408577
"SLC41A2",1.1480844253254,4.35438748680643,12.4188325048435,1.36827402121337e-31,1.42170741799277e-30,60.4176861929228
"EMB",1.50848380620708,3.45694503823706,12.4186903416637,1.3701986550242e-31,1.4221918237859e-30,60.4162888352474
"JAG2",1.52068374200505,4.14755291761932,12.4185822604979,1.37166368251325e-31,1.42295514893914e-30,60.4152264844929
"XCL2",1.50714780345245,2.15871065649647,12.416000137975,1.40713139063854e-31,1.45897307345154e-30,60.3898479004196
"P4HA2",1.3925749040952,5.04728554711012,12.4117555123495,1.46742932993282e-31,1.51987648548485e-30,60.3481359539856
"CDS1",-1.51415527552468,3.97363900694914,-12.4033520394613,1.59449642155791e-31,1.64798429833831e-30,60.2655794995456
"EOMES",1.75995263765975,2.07567925791984,12.4010447756669,1.63126123505145e-31,1.68508939974621e-30,60.2429184363308
"LILRA2",1.05879601368136,1.64734912366922,12.3988657042637,1.66675770742215e-31,1.71993521523038e-30,60.221518685317
"CA2",-1.69520749432027,7.12516250981711,-12.3926299045947,1.77264180808736e-31,1.82823020534785e-30,60.1602916107816
"BPHL",-1.17393217491324,3.55374971391743,-12.3908879158892,1.80339927367924e-31,1.85700612642905e-30,60.1431908592617
"SLC35G2",1.153484751026,2.88583507395546,12.3907198932337,1.80639391195753e-31,1.85910820395291e-30,60.1415414889002
"USP2",-2.04906583450357,3.78320047896061,-12.388795665153,1.8410440330857e-31,1.89377013593198e-30,60.1226535093498
"TMEM131L",1.01600781347864,3.31823516089552,12.3851759094235,1.9080285988356e-31,1.96060494009962e-30,60.0871270822767
"SH2D1A",1.60540466028172,2.26236671425915,12.3830398433517,1.94868946894022e-31,2.00133179108694e-30,60.0661653065714
"HLA-DRB1",1.59843830575413,10.3745029017348,12.3794029004433,2.01991404659e-31,2.07338861319183e-30,60.0304798889148
"TPI1",1.0086475844776,9.87518109240345,12.3659337615844,2.306998824758e-31,2.36061899681297e-30,59.8983750090305
"MYO6",-1.24643993583334,5.13177822070575,-12.3598863845637,2.44877192601869e-31,2.50306073758609e-30,59.8390898718992
"MRPS6",-1.38433370963946,4.94033548270396,-12.3594998054295,2.45812414366103e-31,2.5113040950142e-30,59.8353006407152
"CD180",1.31241209801393,1.94929636255841,12.3515503556698,2.65851869649822e-31,2.71177249674711e-30,59.7573958673213
"CCNB2",1.22381883243878,2.28481211066889,12.3489834348398,2.72663759711806e-31,2.7783496894772e-30,59.7322462551111
"CXCL11",2.18385645717622,2.89833618189302,12.3439729681311,2.86464585821824e-31,2.91745107952117e-30,59.6831646242641
"VSIR",1.20155983757995,5.38061064053256,12.3389746349532,3.00924508099344e-31,3.06151835235342e-30,59.6342134761533
"SHC1",1.06713394130196,6.52872515312964,12.3356631675525,3.10902177735531e-31,3.16137913054018e-30,59.6017890364362
"TRPA1",1.53767920068639,1.63462102903138,12.3351098443149,3.126011892415e-31,3.17699895454767e-30,59.5963716348
"STK32A",-1.35664024287417,1.06454454596487,-12.3324607970691,3.20864141474524e-31,3.25927778707169e-30,59.5704376781647
"GPR4",1.77171269351236,5.28903170588708,12.3310028378754,3.25504203565764e-31,3.30468947534779e-30,59.5561657698073
"VDR",-1.50976916638779,3.28650818682861,-12.3287389619956,3.32841854304779e-31,3.37742699506041e-30,59.5340067340909
